Назва,Міcто/район,Велика рогата худоба - голів,Велика рогата худоба - % до відповідної дати 2020р.,Велика рогата худоба у т.ч. корови - голів,Велика рогата худоба у т.ч. корови - % до відповідної дати 2020р.,Свині - голів,Свині - % до відповідної дати 2020р.,Птиця свійська - тис. голів,Птиця свійська - % до відповідної дати 2020р.
м.Балта,місто,,,,,,,,
м.Біляївка,місто,,,,,,,,
Ананьївський,район,414,"107,5",157,"108,3",,,,
Арцизький,район,443,"37,1",233,"44,5",15462,"99,1",,
Балтський,район,76,"47,2",51,"63,8",,,,
Білгород-Дністровський,район,1529,"98,3",741,"100,3",943,"45,2","9,7","68,1"
Біляївський,район,900,"80,8",329,"69,6",1375,"77,8",,
Березівський,район,2707,87,1149,"95,6",,,,
Болградський,район,354,"40,5",199,"54,4",16957,"103,8",,
Великомихайлівський,район,399,"81,1",145,"79,7",812,"69,6",,
Іванівський,район,,,,,,,,
Ізмаїльський,район,,,,,,,,
Кілійський,район,317,"35,8",,,,,,
Кодимський,район,,,,,,,,
Лиманський,район,,,,,,,,
Подільський,район,,,,,,,,
Окнянський,район,,,,,,,,
Любашівський,район,,,,,,,,
Миколаївський,район,,,,,,,,
Овідіопольський,район,,,,,,,,
Роздільнянський,район,183,"83,2",68,"75,6",806,"96,5",,
Ренійський,район,,,,,,,,
Савранський,район,,,,,,,,
Саратський,район,1900,"88,9",854,"90,8",266,"87,5","64,2","356,2"
Тарутинський,район,223,"94,5",123,"104,2",17296,"163,7",,
Татарбунарський,район,,,,,,,,
Захарівський,район,,,,,,,,
Ширяївський,район,947,"75,7",320,"69,6",3771,"73,4",,
